Date,Total cases,New cases,Total deaths,Total recovered
2020-04-03,3333,217,53,827
2020-04-04,3483,150,57,915
2020-04-05,3662,179,61,1005
2020-04-06,3793,131,62,1241
2020-04-07,3963,170,63,1321
2020-04-08,4119,156,65,1487
2020-04-09,4228,109,67,1608
2020-04-10,4346,118,70,1830
2020-04-11,4530,184,73,1995
2020-04-12,4683,153,76,2108
2020-04-13,4817,134,77,2276
2020-04-14,4987,170,82,2478
2020-04-15,5072,85,83,2647
2020-04-16,5182,110,84,2766
2020-04-17,5251,69,86,2967
2020-04-18,5305,54,88,3102
2020-04-19,5389,84,89,3197
2020-04-20,5425,36,89,3295
2020-04-21,5482,57,92,3349
2020-04-22,5532,50,93,3452
2020-04-23,5603,71,95,3542
2020-04-24,5691,88,96,3663
2020-04-25,5742,51,98,3762
2020-04-26,5780,38,98,3862
2020-04-27,5820,40,99,3957
2020-04-28,5851,31,100,4032
2020-04-29,5945,94,100,4087
2020-04-30,6002,57,102,4171
2020-05-01,6071,69,103,4210
2020-05-02,6176,105,103,4326
2020-05-03,6298,122,105,4413
2020-05-04,6353,55,105,4484
2020-05-05,6383,30,106,4567
2020-05-06,6428,45,107,4702
2020-05-07,6467,39,107,4776
2020-05-08,6535,68,107,4864
2020-05-09,6589,54,108,4929
2020-05-10,6656,67,108,5025
2020-05-11,6726,70,109,5113
2020-05-12,6742,16,109,5223
2020-05-13,6779,37,111,5281
2020-05-14,6819,40,112,5351
2020-05-15,6855,36,112,5439
2020-05-16,6872,17,113,5512
2020-05-17,6894,22,113,5571
2020-05-18,6941,47,113,5615
2020-05-19,6978,37,114,5646
2020-05-20,7009,31,114,5706
2020-05-21,7059,50,114,5796
2020-05-22,7137,78,115,5859
2020-05-23,7185,48,115,5912
2020-05-24,7245,60,115,5945
2020-05-25,7417,172,115,5979
2020-05-26,7604,187,115,6041
2020-05-27,7619,15,115,6083
2020-05-28,7629,10,115,6169
2020-05-29,7732,103,115,6235
2020-05-30,7762,30,115,6330
2020-05-31,7819,57,115,6353
