Date,Total cases,Total deaths,Total recovered,Active cases
2020-04-02,3116,50,767,2299
2020-04-03,3333,53,827,2453
2020-04-04,3483,57,915,2511
2020-04-05,3662,61,1005,2596
2020-04-06,3793,62,1241,2490
2020-04-07,3963,63,1321,2579
2020-04-08,4119,65,1487,2567
2020-04-09,4228,67,1608,2553
2020-04-10,4346,70,1830,2446
2020-04-11,4530,73,1995,2462
2020-04-12,4683,76,2108,2499
2020-04-13,4817,77,2276,2464
2020-04-14,4987,82,2478,2427
2020-04-15,5072,83,2647,2342
2020-04-16,5182,84,2766,2332
2020-04-17,5251,86,2967,2198
2020-04-18,5305,88,3102,2115
2020-04-19,5389,89,3197,2103
2020-04-20,5425,89,3295,2041
2020-04-21,5482,92,3349,2041
2020-04-22,5532,93,3452,1987
2020-04-23,5603,95,3542,1966
2020-04-24,5691,96,3663,1932
2020-04-25,5742,98,3762,1882
2020-04-26,5780,98,3862,1820
2020-04-27,5820,99,3957,1764
2020-04-28,5851,100,4032,1719
2020-04-29,5945,100,4087,1758
2020-04-30,6002,102,4171,1729
2020-05-01,6071,103,4210,1758
2020-05-02,6176,103,4326,1747
2020-05-03,6298,105,4413,1780
2020-05-04,6353,105,4484,1764
2020-05-05,6383,106,4567,1710
2020-05-06,6428,107,4702,1619
2020-05-07,6467,107,4776,1584
2020-05-08,6535,107,4864,1564
2020-05-09,6589,108,4929,1552
2020-05-10,6656,108,5025,1523
2020-05-11,6726,109,5113,1504
2020-05-12,6742,109,5223,1410
2020-05-13,6779,111,5281,1387
2020-05-14,6819,112,5351,1356
2020-05-15,6855,112,5439,1304
2020-05-16,6872,113,5512,1247
2020-05-17,6894,113,5571,1210
2020-05-18,6941,113,5615,1213
2020-05-19,6978,114,5646,1218
2020-05-20,7009,114,5706,1189
2020-05-21,7059,114,5796,1149
2020-05-22,7137,115,5859,1163
2020-05-23,7185,115,5912,1158
2020-05-24,7245,115,5945,1185
2020-05-25,7417,115,5979,1323
2020-05-26,7604,115,6041,1448
2020-05-27,7619,115,6083,1421
2020-05-28,7629,115,6169,1345
2020-05-29,7732,115,6235,1382
2020-05-30,7762,115,6330,1317
2020-05-31,7819,115,6353,1351
2020-06-01,7857,115,6404,1338
2020-06-02,7877,115,6470,1292
2020-06-03,7970,115,6531,1324
2020-06-04,8247,115,6559,1573
2020-06-05,8266,116,6610,1540
2020-06-06,8303,117,6635,1551
2020-06-07,8322,117,6674,1531
2020-06-08,8329,117,6694,1518
2020-06-09,8336,117,6975,1244
2020-06-10,8338,118,7014,1206
2020-06-11,8369,118,7065,1186
2020-06-12,8402,119,7168,1115
2020-06-13,8445,120,7311,1014
2020-06-14,8453,121,7346,986
2020-06-15,8494,121,7400,973
2020-06-16,8505,121,7733,651
2020-06-17,8515,121,7873,521
2020-06-18,8529,121,8000,408
2020-06-19,8535,121,8070,344
2020-06-20,8556,121,8146,289
2020-06-21,8572,121,8156,295
2020-06-22,8587,121,8177,289
2020-06-23,8590,121,8186,283
2020-06-24,8596,121,8231,244
2020-06-25,8600,121,8271,208
2020-06-26,8606,121,8294,191
2020-06-27,8616,121,8308,187
2020-06-28,8634,121,8318,195
2020-06-29,8637,121,8334,182
2020-06-30,8639,121,8354,164
2020-07-01,8640,121,8375,144
2020-07-02,8643,121,8437,85
2020-07-03,8648,121,8446,81
2020-07-04,8658,121,8461,76
2020-07-05,8663,121,8465,77
2020-07-06,8668,121,8476,71
2020-07-07,8674,121,8481,72
2020-07-08,8677,121,8486,70
2020-07-09,8683,121,8499,63
2020-07-10,8696,121,8511,64
2020-07-11,8704,122,8515,67
2020-07-12,8718,122,8519,77
2020-07-13,8725,122,8520,83
2020-07-14,8729,122,8524,83
2020-07-15,8734,122,8526,86
2020-07-16,8737,122,8538,77
2020-07-17,8755,122,8541,92
2020-07-18,8764,122,8546,96
2020-07-19,8779,123,8553,103
2020-07-20,8800,123,8555,122
2020-07-21,8815,123,8562,130
2020-07-22,8831,123,8566,142
2020-07-23,8840,123,8574,143
2020-07-24,8861,123,8577,161
2020-07-25,8884,123,8594,167
2020-07-26,8897,124,8600,173
2020-07-27,8904,124,8601,179
2020-07-28,8943,124,8607,212
2020-07-29,8956,124,8612,220
2020-07-30,8964,124,8617,223
2020-07-31,8976,125,8644,207
2020-08-01,8985,125,8647,213
2020-08-02,8999,125,8664,210
2020-08-03,9001,125,8668,208
2020-08-04,9002,125,8684,193
2020-08-05,9023,125,8702,196
2020-08-06,9038,125,8713,200
2020-08-07,9063,125,8728,210
2020-08-08,9070,125,8775,170
2020-08-09,9083,125,8784,174
2020-08-10,9094,125,8803,166
2020-08-11,9103,125,8809,169
2020-08-12,9114,125,8817,172
2020-08-13,9129,125,8821,183
2020-08-14,9149,125,8828,196
2020-08-15,9175,125,8831,219
2020-08-16,9200,125,8859,216
2020-08-17,9212,125,8876,211
2020-08-18,9219,125,8902,192
2020-08-19,9235,125,8925,185
2020-08-20,9240,125,8932,183
2020-08-21,9249,125,8945,179
2020-08-22,9257,125,8949,183
2020-08-23,9267,125,8959,183
2020-08-24,9274,125,8965,184
2020-08-25,9285,125,8971,189
2020-08-26,9291,125,8978,188
2020-08-27,9296,125,8994,177
2020-08-28,9306,125,9030,151
2020-08-29,9317,125,9038,154
2020-08-30,9334,126,9048,160
2020-08-31,9340,127,9054,159
2020-09-01,9354,128,9075,151
2020-09-02,9360,128,9079,153
2020-09-03,9374,128,9083,163
2020-09-04,9385,128,9092,165
2020-09-05,9391,128,9113,150
2020-09-06,9397,128,9115,154
2020-09-07,9459,128,9124,207
2020-09-08,9559,128,9136,295
2020-09-09,9583,128,9143,312
2020-09-10,9628,128,9167,333
2020-09-11,9810,128,9181,501
2020-09-12,9868,128,9189,551
2020-09-13,9915,128,9196,591
2020-09-14,9946,128,9203,615
2020-09-15,9969,128,9209,632
2020-09-16,10031,128,9235,668
2020-09-17,10052,128,9250,674
2020-09-18,10147,129,9264,754
2020-09-19,10167,130,9315,722
2020-09-20,10219,130,9355,734
2020-09-21,10276,130,9395,751
2020-09-22,10358,130,9563,665
2020-09-23,10505,133,9602,770
2020-09-24,10576,133,9666,777
2020-09-25,10687,133,9696,858
2020-09-26,10769,133,9785,851
2020-09-27,10919,134,9835,950
2020-09-28,11034,134,9889,1011
2020-09-29,11135,134,9939,1062
2020-09-30,11224,136,9967,1121
2020-10-01,11484,136,10014,1334
2020-10-02,11771,136,10095,1540
2020-10-03,12088,137,10216,1735
2020-10-04,12381,137,10283,1961
2020-10-05,12813,137,10340,2336
2020-10-06,13504,141,10427,2936
2020-10-07,13993,141,10501,3351
2020-10-08,14368,146,10519,3703
2020-10-09,14722,152,10707,3863
2020-10-10,15096,155,10780,4161
2020-10-11,15657,157,10913,4587
2020-10-12,16220,159,11022,5039
2020-10-13,16880,163,11372,5345
2020-10-14,17540,167,11605,5768
2020-10-15,18129,170,12014,5945
2020-10-16,18758,176,12259,6323
2020-10-17,19627,180,12561,6886
2020-10-18,20498,187,13262,7049
2020-10-19,21363,190,13717,7456
2020-10-20,22225,193,14351,7681
2020-10-21,22957,199,14931,7827
2020-10-22,23804,204,15417,8183
2020-10-23,24514,214,15884,8416
2020-10-24,25742,221,16555,8966
2020-10-25,26565,229,17134,9202
2020-10-26,27805,236,17825,9744
2020-10-27,28640,238,18499,9903
2020-10-28,29441,246,19072,10123
2020-10-29,30090,246,19757,10087
2020-10-30,30889,249,20248,10392
2020-10-31,31548,249,21248,10051
2020-11-01,32505,249,22220,10036
2020-11-02,33339,251,23120,9968
2020-11-03,34393,263,23995,10135
2020-11-04,35425,271,24815,10339
2020-11-05,36434,277,25654,10503
2020-11-06,38189,279,26380,11530
2020-11-07,39357,282,27409,11666
2020-11-08,40209,286,28234,11689
2020-11-09,41181,294,29579,11308
2020-11-10,42050,300,30304,11446
2020-11-11,42872,302,31073,11497
2020-11-12,43791,303,32069,11419
2020-11-13,45095,304,32969,11822
2020-11-14,46209,306,33772,12131
2020-11-15,47417,309,34785,12323
2020-11-16,48520,313,35606,12601
2020-11-17,49730,318,36624,12788
2020-11-18,50390,322,37254,12814
2020-11-19,51680,326,38132,13222
2020-11-20,52638,329,39088,13221
2020-11-21,53679,332,40493,12854
2020-11-22,54775,335,41597,12843
2020-11-23,56659,337,42480,13842
2020-11-24,58847,341,44153,14353
2020-11-25,59817,345,46501,12971
2020-11-26,60752,348,49056,11348
2020-11-27,61861,350,50204,11307
2020-11-28,63176,354,51314,11508
2020-11-29,64485,357,52647,11481
2020-11-30,65697,360,54759,10578
2020-12-01,67169,363,56311,10495
2020-12-02,68020,365,56969,10686
2020-12-03,69095,376,57917,10802
2020-12-04,70236,376,59061,10799
2020-12-05,71359,380,60204,10775
2020-12-06,72694,382,61273,11039
2020-12-07,74294,384,62306,11604
2020-12-08,75306,388,64056,10862
2020-12-09,76265,393,65124,10748
2020-12-10,78499,396,66236,11867
2020-12-11,80309,402,67173,12734
2020-12-12,82246,411,68084,13751
2020-12-13,83475,415,69393,13667
2020-12-14,84846,419,70597,13830
2020-12-15,86618,422,71681,14515
2020-12-16,87913,429,72733,14751
2020-12-17,89133,432,74030,14671
2020-12-18,90816,432,75244,15140
2020-12-19,91969,433,76242,15294
2020-12-20,93309,437,77309,15563
2020-12-21,95327,438,78393,16496
2020-12-22,97389,439,79304,17646
2020-12-23,98737,444,80014,18279
2020-12-24,100318,446,81099,18773
2020-12-25,101565,449,82540,18576
2020-12-26,103900,451,83414,20035
2020-12-27,105096,452,84411,20233
2020-12-28,106690,455,85592,20643
2020-12-29,108615,457,86715,21443
2020-12-30,110485,463,87460,22562
2020-12-31,113010,471,88941,23598
2021-01-01,115078,474,91171,23433
2021-01-02,117373,483,94492,22398
2021-01-03,119077,494,97218,21365
2021-01-04,120818,501,98228,22089
2021-01-05,122845,509,99449,22887
2021-01-06,125438,513,100578,24347
2021-01-07,128465,521,102723,25221
2021-01-08,131108,537,105431,25140
2021-01-09,133559,542,106832,26185
2021-01-10,135992,551,108109,27332
2021-01-11,138224,555,109115,28554
2021-01-12,141533,559,110584,30390
2021-01-13,144518,563,111578,32377
2021-01-14,147855,578,113288,33989
2021-01-15,151066,586,115227,35253
2021-01-16,155095,594,117375,37126
2021-01-17,158434,601,120051,37782
2021-01-18,161740,605,122344,38791
2021-01-19,165371,619,125288,39464
2021-01-20,169379,630,127662,41087
2021-01-21,172549,642,130152,41755
2021-01-22,176180,660,132706,42814
2021-01-23,180455,667,137019,42769
2021-01-24,183801,678,141446,41677
2021-01-25,186849,689,145084,41076
2021-01-26,190434,700,149160,40574
2021-01-27,194114,707,151018,42389
2021-01-28,198208,717,154299,43192
2021-01-29,203933,733,157722,45478
2021-01-30,209661,746,161527,47388
2021-01-31,214959,760,166049,48150
2021-02-01,219173,770,170329,48074
2021-02-02,222628,791,173990,47847
2021-02-03,226912,809,177794,48309
2021-02-04,231483,826,181886,48771
2021-02-05,234874,845,185278,48751
2021-02-06,238721,857,186970,50894
2021-02-07,242452,872,190339,51241
2021-02-08,245552,896,192679,51977
2021-02-09,248316,909,196566,50841
2021-02-10,251604,923,198495,52186
2021-02-11,254988,936,202269,51783
2021-02-12,258306,953,205774,51579
2021-02-13,261805,958,209289,51558
2021-02-14,264269,965,213814,49490
2021-02-15,266445,975,218335,47135
2021-02-16,269165,983,224053,44129
2021-02-17,272163,1005,229762,41396
2021-02-18,274875,1030,235082,38763
2021-02-19,277811,1043,239971,36797
2021-02-20,280272,1051,244753,34468
2021-02-21,283569,1056,249209,33304
2021-02-22,285761,1062,252623,32076
2021-02-23,288229,1076,256678,30475
2021-02-24,291774,1088,260009,30677
2021-02-25,293698,1100,263761,28837
2021-02-26,295951,1111,266846,27994
2021-02-27,298315,1121,270166,27028
2021-02-28,300752,1130,273417,26205
2021-03-01,302580,1135,275903,25542
2021-03-02,304135,1141,278431,24563
2021-03-03,305880,1148,280707,24025
2021-03-04,307943,1153,283629,23161
2021-03-05,310097,1159,286904,22034
2021-03-06,311777,1166,289452,21159
2021-03-07,313460,1169,291958,20333
2021-03-08,314989,1177,294034,19778
2021-03-09,316269,1186,296379,18704
2021-03-10,317717,1191,298516,18010
2021-03-11,319364,1200,300620,17544
2021-03-12,320939,1203,302662,17074
2021-03-13,322409,1206,304492,16711
2021-03-14,323763,1210,306274,16279
2021-03-15,324971,1213,308247,15511
2021-03-16,326034,1218,309612,15204
2021-03-17,327253,1220,310958,15075
2021-03-18,328466,1223,312461,14782
2021-03-19,330042,1225,314457,14360
2021-03-20,331713,1229,316042,14442
2021-03-21,333040,1233,317289,14518
2021-03-22,334156,1238,318784,14134
2021-03-23,335540,1244,319842,14454
2021-03-24,336808,1246,320925,14637
2021-03-25,338168,1248,322416,14504
2021-03-26,339443,1249,323925,14269
2021-03-27,340642,1251,325182,14209
2021-03-28,341944,1255,326309,14380
2021-03-29,342885,1260,327406,14219
2021-03-30,344018,1265,328554,14199
2021-03-31,345500,1272,329624,14604
2021-04-01,346678,1278,331001,14399
2021-04-02,347972,1283,332443,14246
2021-04-03,349610,1286,333892,14432
2021-04-04,350959,1288,335162,14509
2021-04-05,352029,1295,336456,14278
2021-04-06,353329,1300,337868,14161
2021-04-07,354468,1304,339067,14097
2021-04-08,355753,1308,340242,14203
2021-04-09,357607,1313,341489,14805
2021-04-10,359117,1321,342737,15059
2021-04-11,360856,1329,343953,15574
2021-04-12,362173,1333,345005,15835
2021-04-13,363940,1345,346295,16300
2021-04-14,365829,1353,347780,16696
2021-04-15,367977,1363,349039,17575
2021-04-16,370528,1365,350563,18600
2021-04-17,372859,1370,352395,19094
2021-04-18,375054,1378,353822,19854
2021-04-19,377132,1386,355224,20522
2021-04-20,379473,1389,356816,21268
2021-04-21,381813,1400,358726,21687
2021-04-22,384688,1407,361267,22014
2021-04-23,387535,1415,363608,22512
2021-04-24,390252,1426,365900,22926
2021-04-25,392942,1436,367753,23753
2021-04-26,395718,1449,369556,24713
2021-04-27,398451,1462,371575,25414
2021-04-28,401593,1477,373397,26719
2021-04-29,404925,1492,375340,28093
2021-04-30,408713,1506,377980,29227
2021-05-01,411594,1521,380442,29631
2021-05-02,415012,1533,383140,30339
2021-05-03,417512,1551,385208,30753
2021-05-04,420632,1574,387542,31516
2021-05-05,424376,1591,389846,32939
2021-05-06,427927,1610,392555,33762
2021-05-07,432425,1632,396004,34789
2021-05-08,436944,1657,398723,36564
2021-05-09,440677,1683,401934,37060
2021-05-10,444484,1700,405388,37396
2021-05-11,448457,1722,408236,38499
2021-05-12,453222,1761,411360,40101
2021-05-13,458077,1788,414707,41582
2021-05-14,462190,1822,418897,41471
2021-05-15,466330,1866,422329,42135
2021-05-16,470110,1902,426319,41889
2021-05-17,474556,1947,429103,43506
2021-05-18,479421,1994,432600,44827
2021-05-19,485496,2040,436116,47340
2021-05-20,492302,2099,440032,50171
2021-05-21,498795,2149,444540,52106
2021-05-22,505115,2199,449234,53682
2021-05-23,512091,2248,452821,57022
2021-05-24,518600,2309,456273,60018
2021-05-25,525889,2369,460062,63458
2021-05-26,533367,2432,464727,66208
2021-05-27,541224,2491,469325,69408
2021-05-28,549514,2552,474139,72823
2021-05-29,558534,2650,479666,76218
2021-05-30,565533,2729,484787,78017
2021-05-31,572357,2796,490038,79523
2021-06-01,579462,2867,496121,80474
2021-06-02,587165,2993,501898,82274
2021-06-03,595374,3096,508947,83331
2021-06-04,603122,3182,515571,84369
2021-06-05,610574,3291,521676,85607
2021-06-06,616815,3378,526809,86628
2021-06-07,622086,3460,534357,84269
2021-06-08,627652,3536,541319,82797
2021-06-09,633891,3611,548705,81575
2021-06-10,639562,3684,556030,79848
2021-06-11,646411,3768,563779,78864
2021-06-12,652204,3844,572113,76247
2021-06-13,657508,3908,580276,73324
2021-06-14,662457,3968,586864,71625
2021-06-15,667876,4069,593695,70112
2021-06-16,673026,4142,600935,67949
2021-06-17,678764,4202,608465,66097
2021-06-18,685204,4276,615326,65602
2021-06-19,691115,4348,622244,64523
2021-06-20,696408,4408,628185,63815
2021-06-21,701019,4477,633624,62918
2021-06-22,705762,4554,639181,62027
2021-06-23,711006,4637,645553,60816
2021-06-24,716847,4721,650964,61162
2021-06-25,722659,4803,657739,60117
2021-06-26,728462,4884,662932,60646
2021-06-27,734048,4944,667709,61395
2021-06-28,739266,5001,672453,61812
2021-06-29,745703,5108,677751,62844
2021-06-30,751979,5170,682680,64129
2021-07-01,758967,5254,688260,65453
2021-07-02,765949,5327,694538,66084
2021-07-03,772607,5434,700215,66958
2021-07-04,778652,5497,705486,67669
2021-07-05,785039,5574,710018,69447
2021-07-06,792693,5677,714815,72201
2021-07-07,799790,5768,719678,74344
2021-07-08,808658,5903,725480,77275
2021-07-09,817838,5980,731193,80665
2021-07-10,827191,6067,737103,84021
2021-07-11,836296,6158,742297,87841
2021-07-12,844870,6260,747338,91272
2021-07-13,855949,6385,753328,96236
2021-07-14,867567,6503,759705,101359
2021-07-15,880782,6613,765800,108369
2021-07-16,893323,6728,772542,114053
2021-07-17,905851,6866,779171,119814
2021-07-18,916561,7019,784949,124593
2021-07-19,927533,7148,791388,128997
2021-07-20,939899,7241,798955,133703
2021-07-21,951884,7440,806857,137587
2021-07-22,964918,7574,815293,142051
2021-07-23,980491,7718,825387,147386
2021-07-24,996393,7902,834858,153633
2021-07-25,1013438,7994,844541,160903
2021-07-26,1027954,8201,853913,165840
2021-07-27,1044071,8408,865439,170224
2021-07-28,1061476,8551,877812,175113
2021-07-29,1078646,8725,890742,179179
2021-07-30,1095486,8859,902921,183706
2021-07-31,1113272,9024,914639,189609
2021-08-01,1130422,9184,925965,195273
2021-08-02,1146186,9403,937732,199051
2021-08-03,1163291,9598,950029,203664
2021-08-04,1183110,9855,962733,210522
2021-08-05,1203706,10019,976626,217061
2021-08-06,1224595,10179,993020,221396
2021-08-07,1243852,10389,1009343,224120
2021-08-08,1262540,10749,1026398,225393
2021-08-09,1279776,10961,1041585,227230
2021-08-10,1299767,11162,1057843,230762
2021-08-11,1320547,11373,1075816,233358
2021-08-12,1342215,11691,1093503,237021
2021-08-13,1363683,11968,1110528,241187
2021-08-14,1384353,12228,1128183,243942
2021-08-15,1404899,12510,1145128,247261
2021-08-16,1424639,12784,1162578,249277
2021-08-17,1444270,13077,1179046,252147
2021-08-18,1466512,13302,1198726,254484
2021-08-19,1489460,13480,1220446,255534
2021-08-20,1513024,13713,1241894,257417
2021-08-21,1535286,13936,1260470,260880
2021-08-22,1555093,14168,1278670,262255
2021-08-23,1572765,14342,1297723,260700
2021-08-24,1593602,14553,1316336,262713
2021-08-25,1616244,14818,1337134,264292
2021-08-26,1640843,15211,1359791,265841
2021-08-27,1662913,15550,1381668,265695
2021-08-28,1685510,15802,1401160,268548
2021-08-29,1706089,16087,1422005,267997
2021-08-30,1725357,16382,1443262,265713
2021-08-31,1746254,16664,1461727,267863
2021-09-01,1765016,16942,1482800,265274
2021-09-02,1786004,17191,1506273,262540
2021-09-03,1805382,17521,1528672,259189
2021-09-04,1824439,17883,1550254,256302
2021-09-05,1844835,18219,1570827,255789
2021-09-06,1862187,18491,1591028,252668
2021-09-07,1880734,18802,1609930,252002
2021-09-08,1900467,19163,1632631,248673
2021-09-09,1919774,19486,1657486,242802
2021-09-10,1940950,19827,1678962,242161
2021-09-11,1960500,20419,1700733,239348
2021-09-12,1979698,20711,1721713,237274
2021-09-13,1995771,21124,1746526,228121
2021-09-14,2011440,21587,1764579,225274
2021-09-15,2030935,22009,1783339,225587
2021-09-16,2049750,22355,1800278,227117
2021-09-17,2067327,22743,1823248,221336
2021-09-18,2082876,23067,1840453,219356
2021-09-19,2097830,23443,1863922,210465
2021-09-20,2112175,23744,1880736,207695
2021-09-21,2127934,24078,1897386,206470
2021-09-22,2142924,24565,1917088,201271
2021-09-23,2156678,24681,1933716,198281
2021-09-24,2171232,24931,1950467,195834
2021-09-25,2185131,25159,1968541,191431
2021-09-26,2198235,25437,1989512,183286
2021-09-27,2209194,25695,2005942,177557
2021-09-28,2220526,25935,2020102,174489
2021-09-29,2232960,26143,2037102,169715
2021-09-30,2245695,26335,2054827,164533
2021-10-01,2257584,26456,2070718,160410
2021-10-02,2268499,26565,2086114,155820
2021-10-03,2277565,26683,2100568,150314
2021-10-04,2285640,26759,2116024,142857
2021-10-05,2294457,26876,2131639,135942
2021-10-06,2303837,26981,2144684,132172
2021-10-07,2313727,27113,2157568,129046
2021-10-08,2323478,27191,2170292,125995
2021-10-09,2332221,27265,2184714,120242
2021-10-10,2339594,27329,2195673,116592
2021-10-11,2346303,27422,2206506,112375
2021-10-12,2353579,27525,2217061,108993
2021-10-13,2361529,27593,2227893,106043
2021-10-14,2369613,27681,2240349,101583
2021-10-15,2377033,27770,2251762,97501
2021-10-16,2384542,27858,2261293,95391
2021-10-17,2390687,27921,2270524,92242
2021-10-18,2396121,27993,2278959,89169
2021-10-19,2401866,28062,2287892,85912
2021-10-20,2407382,28138,2297293,81951
2021-10-21,2413592,28234,2297293,88065
2021-10-22,2420222,28312,2304923,86987
2021-10-23,2426050,28354,2314101,83595
2021-10-24,2431716,28400,2321079,82237
2021-10-25,2436498,28492,2328493,79513
2021-10-26,2442224,28576,2334100,79548
2021-10-27,2448372,28674,2341695,78003
2021-10-28,2454749,28769,2348332,77648
2021-10-29,2460809,28832,2355629,76348
2021-10-30,2466663,28876,2362344,75443
2021-10-31,2471642,28912,2368471,74259
2021-11-01,2476268,28975,2373770,73523
2021-11-02,2481339,29045,2379142,73152
2021-11-03,2486630,29091,2384089,73450
2021-11-04,2492343,29155,2389954,73234
2021-11-05,2497265,29202,2395533,72530
2021-11-06,2501966,29256,2400915,71795
2021-11-07,2506309,29291,2406105,70913
2021-11-08,2510852,29349,2413453,68050
2021-11-09,2516255,29427,2418764,68064
2021-11-10,2522498,29486,2423832,69180
2021-11-11,2528821,29535,2429169,70117
2021-11-12,2535338,29576,2435195,70567
2021-11-13,2541147,29631,2439907,71609
2021-11-14,2546309,29676,2444926,71707
2021-11-15,2551452,29729,2449477,72246
2021-11-16,2556865,29769,2455490,71606
2021-11-17,2563153,29837,2460233,73083
2021-11-18,2569533,29892,2465993,73648
2021-11-19,2575888,29937,2471024,74927
2021-11-20,2581747,29975,2475994,75778
2021-11-21,2586601,29999,2481519,75083
2021-11-22,2591486,30062,2487147,74277
2021-11-23,2597080,30109,2492055,74916
2021-11-24,2602835,30146,2497137,75552
2021-11-25,2608979,30194,2503739,75046
2021-11-26,2614480,30239,2510403,73838
2021-11-27,2619577,30279,2515755,73543
2021-11-28,2623816,30308,2520762,72746
2021-11-29,2627903,30369,2525746,71788
2021-11-30,2632782,30424,2530914,71444
2021-12-01,2638221,30473,2537717,70031
2021-12-02,2644027,30520,2544963,68544
2021-12-03,2649578,30537,2550264,68777
2021-12-04,2654474,30573,2554942,68959
2021-12-05,2658772,30613,2559871,68288
2021-12-06,2663034,30651,2565765,66618
2021-12-07,2667999,30717,2570582,66700
2021-12-08,2673019,30745,2575107,67167
2021-12-09,2678465,30786,2580534,67145
2021-12-10,2683523,30830,2585531,67162
2021-12-11,2688149,30861,2590221,67067
2021-12-12,2691639,30878,2595620,65141
2021-12-13,2695143,30907,2600021,64215
2021-12-14,2699240,30955,2604322,63963
2021-12-15,2703140,30988,2608874,63278
2021-12-16,2707402,31025,2613859,62518
2021-12-17,2711764,31043,2618957,61764
2021-12-18,2715847,31072,2624392,60383
2021-12-19,2718955,31091,2628093,59771
2021-12-20,2721544,31134,2631903,58507
2021-12-21,2724684,31191,2636181,57312
2021-12-22,2728203,31220,2641299,55684
2021-12-23,2731713,31264,2646297,54152
2021-12-24,2735241,31289,2650786,53166
2021-12-25,2738401,31314,2655207,51880
2021-12-26,2741179,31333,2658746,51100
2021-12-27,2743936,31368,2663366,49202
2021-12-28,2746833,31391,2666800,48642
2021-12-29,2750516,31427,2671122,47967
2021-12-30,2754513,31461,2675106,47946
2021-12-31,2758086,31486,2679094,47506
2022-01-01,2761472,31512,2682641,47319
2022-01-02,2764354,31531,2685932,46891
2022-01-03,2767044,31559,2689467,46018
2022-01-04,2769886,31590,2692329,45967
2022-01-05,2773156,31608,2695524,46024
2022-01-06,2776699,31627,2699008,46064
2022-01-07,2780080,31643,2702455,45982
2022-01-08,2783331,31654,2705616,46061
2022-01-09,2786219,31677,2708330,46212
2022-01-10,2788860,31695,2711138,46027
2022-01-11,2792035,31722,2714115,46198
2022-01-12,2795233,31737,2717315,46181
2022-01-13,2798917,31749,2720607,46561
2022-01-14,2802263,31761,2723659,46843
2022-01-15,2805337,31780,2726487,47070
2022-01-16,2808347,31792,2729071,47484
2022-01-17,2810689,31808,2731978,46903
2022-01-18,2813934,31817,2735071,47046
2022-01-19,2817163,31830,2737919,47414
2022-01-20,2820927,31852,2741173,47902
2022-01-21,2824973,31868,2743977,49128
2022-01-22,2829089,31882,2746835,50372
2022-01-23,2832945,31891,2749649,51405
2022-01-24,2836159,31901,2752765,51493
2022-01-25,2840225,31917,2756324,51984
2022-01-26,2844969,31929,2759970,53070
2022-01-27,2850408,31939,2764379,54090
2022-01-28,2855930,31951,2767664,56315
2022-01-29,2861069,31956,2771431,57682
2022-01-30,2865984,31964,2774487,59533
2022-01-31,2870758,31977,2777719,61062
2022-02-01,2876324,31984,2780906,63434
2022-02-02,2882060,31991,2784102,65967
2022-02-03,2887780,31999,2788070,67711
2022-02-04,2895014,32010,2793324,69680
2022-02-05,2904131,32024,2799870,72237
2022-02-06,2914220,32033,2806330,75857
2022-02-07,2925254,32042,2812366,80846
2022-02-08,2939198,32055,2817787,89356
2022-02-09,2956332,32064,2823468,100800
